Time,Stock,Brd,Price,Qty,BT,BC,SC,m
14:47:33,INDF,RG,6350,11,F,CS,ZP,F
14:47:33,INDF,RG,6350,2,F,CS,ZP,F
14:47:33,INDF,RG,6350,118,D,YB,ZP,F
14:47:33,INDF,RG,6350,7,D,YB,ZP,F
14:47:33,INDF,RG,6375,2,F,CS,DH,D
14:47:33,INDF,RG,6375,16,F,CS,RX,D
14:47:22,INDF,RG,6375,27,F,CS,RX,D
14:47:08,INDF,RG,6375,1,D,CD,BK,F
14:47:06,INDF,RG,6350,93,D,YB,AK,F
14:47:06,INDF,RG,6375,45,F,ZP,BK,F
14:47:06,INDF,RG,6375,1,F,ZP,XC,D
14:47:06,INDF,RG,6375,28,F,ZP,BK,F
14:47:06,INDF,RG,6350,4,D,YB,ZP,F
14:47:06,INDF,RG,6350,8,D,YB,RX,D
14:47:05,INDF,RG,6350,249,D,YB,ZP,F
14:47:04,INDF,RG,6375,19,F,CS,BK,F
14:47:04,INDF,RG,6350,5,D,YB,LG,D
14:47:03,INDF,RG,6375,25,F,ZP,BK,F
14:47:03,INDF,RG,6375,1,F,ZP,XC,D
14:47:03,INDF,RG,6375,10,F,ZP,BK,F
14:47:03,INDF,RG,6375,66,F,ZP,ZP,F
14:47:00,INDF,RG,6375,5,D,PD,ZP,F
14:46:57,INDF,RG,6350,9,D,YB,BK,F
14:46:52,INDF,RG,6375,42,F,ZP,ZP,F
14:46:52,INDF,RG,6375,5,F,ZP,ZP,F
14:46:52,INDF,RG,6375,19,F,ZP,AK,F
14:46:52,INDF,RG,6350,8,D,YB,BK,F
14:46:52,INDF,RG,6375,17,F,CS,AK,F
14:46:52,INDF,RG,6375,14,F,CS,ZP,F
14:46:47,INDF,RG,6350,9,D,YB,BK,F
14:46:43,INDF,RG,6350,9,D,YB,BK,F
14:46:35,INDF,RG,6350,10,D,YB,BK,F
14:46:33,INDF,RG,6350,9,D,YB,BK,F
14:46:32,INDF,RG,6375,31,F,CS,ZP,F
14:46:29,INDF,RG,6350,6,D,YB,RX,D
14:46:26,INDF,RG,6350,5,D,YB,RX,D
14:46:24,INDF,RG,6350,10,D,YB,BK,F
14:46:21,INDF,RG,6350,10,D,YB,BK,F
14:46:14,INDF,RG,6350,10,D,YB,BK,F
14:46:12,INDF,RG,6350,10,D,YB,BK,F
14:46:12,INDF,RG,6375,31,F,CS,ZP,F
14:46:03,INDF,RG,6350,9,D,YB,BK,F
14:45:57,INDF,RG,6375,1,D,NI,ZP,F
14:45:56,INDF,RG,6350,9,D,YB,BK,F
14:45:56,INDF,RG,6375,1,D,YP,ZP,F
14:45:52,INDF,RG,6375,34,F,CS,ZP,F
14:45:50,INDF,RG,6350,10,D,YB,BK,F
14:45:46,INDF,RG,6350,10,D,YB,BK,F
14:45:42,INDF,RG,6350,9,D,YB,BK,F
14:45:36,INDF,RG,6350,9,D,YB,BK,F
14:45:30,INDF,RG,6350,9,D,YB,BK,F
14:45:30,INDF,RG,6375,28,F,CS,ZP,F
14:45:25,INDF,RG,6350,31,D,YB,ZP,F
14:45:23,INDF,RG,6350,10,D,YB,BK,F
14:45:22,INDF,RG,6375,112,F,ZP,ZP,F
14:45:22,INDF,RG,6375,6,F,ZP,ZP,F
14:45:16,INDF,RG,6350,9,D,YB,BK,F
14:45:14,INDF,RG,6350,3,D,YB,PD,D
14:45:11,INDF,RG,6350,9,D,YB,BK,F
14:45:10,INDF,RG,6375,5,D,YP,ZP,F
14:45:06,INDF,RG,6350,9,D,YB,BK,F
14:45:02,INDF,RG,6350,9,D,YB,BK,F
14:45:01,INDF,RG,6350,162,D,YB,ZP,F
14:45:00,INDF,RG,6350,104,D,YB,AK,F
14:45:00,INDF,RG,6350,22,F,CS,AK,F
14:45:00,INDF,RG,6350,20,F,CS,AK,F
14:45:00,INDF,RG,6350,2,F,AK,AK,F
14:45:00,INDF,RG,6350,42,D,CP,AK,F
14:45:00,INDF,RG,6350,2,D,CP,AK,F
14:44:56,INDF,RG,6350,6,D,CP,BK,F
14:44:56,INDF,RG,6350,4,F,ZP,BK,F
14:44:54,INDF,RG,6350,1,F,ZP,DX,D
14:44:53,INDF,RG,6350,9,F,ZP,BK,F
14:44:47,INDF,RG,6375,3,D,GR,AK,F
14:44:47,INDF,RG,6375,72,D,GR,YU,D
14:44:45,INDF,RG,6375,95,F,ZP,YU,D
14:44:44,INDF,RG,6350,21,F,ZP,YU,D
14:44:44,INDF,RG,6350,50,D,GR,YU,D
14:44:44,INDF,RG,6350,12,F,CS,YU,D
14:44:44,INDF,RG,6350,4,F,CS,YU,D
14:44:44,INDF,RG,6350,1,F,CS,YU,D
14:44:44,INDF,RG,6350,112,F,RX,YU,D
14:44:42,INDF,RG,6350,8,F,RX,BK,F
14:44:40,INDF,RG,6350,10,F,RX,BK,F
14:44:37,INDF,RG,6375,33,F,ZP,YU,D
14:44:37,INDF,RG,6375,37,F,ZP,YP,D
14:44:32,INDF,RG,6350,9,F,RX,BK,F
14:44:30,INDF,RG,6375,8,F,AK,YP,D
14:44:28,INDF,RG,6375,38,F,CS,YP,D
14:44:25,INDF,RG,6350,9,F,RX,BK,F
14:44:24,INDF,RG,6350,2,F,RX,DX,D
14:44:20,INDF,RG,6350,9,F,RX,BK,F
14:44:16,INDF,RG,6350,8,F,RX,BK,F
14:44:11,INDF,RG,6350,9,F,RX,BK,F
14:44:02,INDF,RG,6350,8,F,RX,BK,F
14:44:00,INDF,RG,6375,1,F,AK,YP,D
14:43:58,INDF,RG,6375,38,F,CS,YP,D
14:43:56,INDF,RG,6350,9,F,RX,BK,F
14:43:50,INDF,RG,6350,10,F,RX,BK,F
14:43:47,INDF,RG,6350,9,F,RX,BK,F
14:43:41,INDF,RG,6350,9,F,RX,BK,F
14:43:38,INDF,RG,6375,1,F,AK,YP,D
14:43:37,INDF,RG,6375,3,D,XL,YP,D
14:43:28,INDF,RG,6375,39,F,CS,YP,D
14:43:22,INDF,RG,6375,31,F,RX,YP,D
14:43:15,INDF,RG,6375,1,F,AK,YP,D
14:43:14,INDF,RG,6375,11,F,RX,YP,D
14:42:57,INDF,RG,6375,39,F,CS,YP,D
14:42:54,INDF,RG,6375,9,F,RX,YP,D
14:42:46,INDF,RG,6375,36,F,ZP,YP,D
14:42:37,INDF,RG,6375,8,F,RX,YP,D
14:42:37,INDF,RG,6375,4,F,RX,YP,D
14:42:27,INDF,RG,6375,52,F,CS,YP,D
14:42:14,INDF,RG,6375,137,F,ZP,YP,D
14:41:54,INDF,RG,6375,7,D,KK,YP,D
14:41:54,INDF,RG,6375,3,D,KK,AK,F
14:41:46,INDF,RG,6375,52,F,CS,AK,F
14:41:05,INDF,RG,6375,51,F,CS,AK,F
